"FuncionarioData (S)","Date (S)","Job (S)","Location (S)","Number (N)","Time (S)"
"001-Aug 06 2019 01:08:26 -L1","Aug 06 2019","FUN","L1","1","01:08:26 "
"001-Aug 06 2019 01:08:46 -L1","Aug 06 2019","FUN","L1","1","01:08:46 "
"001-Aug 06 2019 01:09:04 -L1","Aug 06 2019","FUN","L1","1","01:09:04 "
"001-Aug 06 2019 01:09:20 -L1","Aug 06 2019","FUN","L1","1","01:09:20 "
"001-Aug 06 2019 01:09:39 -L1","Aug 06 2019","FUN","L1","1","01:09:39 "
"001-Aug 06 2019 01:09:56 -L1","Aug 06 2019","FUN","L1","1","01:09:56 "
"001-Aug 06 2019 01:10:36 -L1","Aug 06 2019","FUN","L1","1","01:10:36 "
"001-Aug 06 2019 01:12:08 -L1","Aug 06 2019","FUN","L1","1","01:12:08 "
"001-Aug 06 2019 01:14:18 -L1","Aug 06 2019","FUN","L1","1","01:14:18 "
"001-Aug 06 2019 01:14:37 -L1","Aug 06 2019","FUN","L1","1","01:14:37 "
"001-Aug 06 2019 01:14:53 -L1","Aug 06 2019","FUN","L1","1","01:14:53 "
"001-Aug 06 2019 01:15:13 -L1","Aug 06 2019","FUN","L1","1","01:15:13 "
"001-Aug 06 2019 01:15:30 -L1","Aug 06 2019","FUN","L1","1","01:15:30 "
"001-Aug 06 2019 01:15:45 -L1","Aug 06 2019","FUN","L1","1","01:15:45 "
"001-Aug 06 2019 01:16:05 -L1","Aug 06 2019","FUN","L1","1","01:16:05 "
"001-Aug 06 2019 01:16:20 -L1","Aug 06 2019","FUN","L1","1","01:16:20 "
"001-Aug 06 2019 01:16:37 -L1","Aug 06 2019","FUN","L1","1","01:16:37 "
"001-Aug 06 2019 01:16:57 -L1","Aug 06 2019","FUN","L1","1","01:16:57 "
"001-Aug 06 2019 01:17:12 -L1","Aug 06 2019","FUN","L1","1","01:17:12 "
"001-Aug 06 2019 01:17:52 -L3","Aug 06 2019","FUN","L3","1","01:17:52 "
"001-Aug 06 2019 01:19:37 -L3","Aug 06 2019","FUN","L3","1","01:19:37 "
"001-Aug 06 2019 01:21:13 -L3","Aug 06 2019","FUN","L3","1","01:21:13 "
"001-Aug 06 2019 01:22:37 -L3","Aug 06 2019","FUN","L3","1","01:22:37 "
"001-Aug 06 2019 01:22:47 -L3","Aug 06 2019","FUN","L3","1","01:22:47 "
"001-Aug 06 2019 01:23:01 -L3","Aug 06 2019","FUN","L3","1","01:23:01 "
"001-Aug 06 2019 01:23:16 -L3","Aug 06 2019","FUN","L3","1","01:23:16 "
"009-Aug 06 2019 01:08:28 -L1","Aug 06 2019","FUN","L1","9","01:08:28 "
"009-Aug 06 2019 01:08:44 -L1","Aug 06 2019","FUN","L1","9","01:08:44 "
"009-Aug 06 2019 01:09:02 -L1","Aug 06 2019","FUN","L1","9","01:09:02 "
"009-Aug 06 2019 01:09:22 -L1","Aug 06 2019","FUN","L1","9","01:09:22 "
"009-Aug 06 2019 01:09:41 -L1","Aug 06 2019","FUN","L1","9","01:09:41 "
"009-Aug 06 2019 01:09:58 -L1","Aug 06 2019","FUN","L1","9","01:09:58 "
"009-Aug 06 2019 01:10:34 -L1","Aug 06 2019","FUN","L1","9","01:10:34 "
"009-Aug 06 2019 01:12:10 -L1","Aug 06 2019","FUN","L1","9","01:12:10 "
"009-Aug 06 2019 01:14:16 -L1","Aug 06 2019","FUN","L1","9","01:14:16 "
"009-Aug 06 2019 01:14:35 -L1","Aug 06 2019","FUN","L1","9","01:14:35 "
"009-Aug 06 2019 01:14:55 -L1","Aug 06 2019","FUN","L1","9","01:14:55 "
"009-Aug 06 2019 01:15:10 -L1","Aug 06 2019","FUN","L1","9","01:15:10 "
"009-Aug 06 2019 01:15:28 -L1","Aug 06 2019","FUN","L1","9","01:15:28 "
"009-Aug 06 2019 01:15:47 -L1","Aug 06 2019","FUN","L1","9","01:15:47 "
"009-Aug 06 2019 01:16:03 -L1","Aug 06 2019","FUN","L1","9","01:16:03 "
"009-Aug 06 2019 01:16:22 -L1","Aug 06 2019","FUN","L1","9","01:16:22 "
"009-Aug 06 2019 01:16:39 -L1","Aug 06 2019","FUN","L1","9","01:16:39 "
"009-Aug 06 2019 01:16:55 -L1","Aug 06 2019","FUN","L1","9","01:16:55 "
"009-Aug 06 2019 01:17:14 -L1","Aug 06 2019","FUN","L1","9","01:17:14 "
"009-Aug 06 2019 01:17:54 -L3","Aug 06 2019","FUN","L3","9","01:17:54 "
"009-Aug 06 2019 01:19:35 -L3","Aug 06 2019","FUN","L3","9","01:19:35 "
"009-Aug 06 2019 01:21:11 -L3","Aug 06 2019","FUN","L3","9","01:21:11 "
"009-Aug 06 2019 01:22:35 -L3","Aug 06 2019","FUN","L3","9","01:22:35 "
"009-Aug 06 2019 01:22:49 -L3","Aug 06 2019","FUN","L3","9","01:22:49 "
"009-Aug 06 2019 01:23:03 -L3","Aug 06 2019","FUN","L3","9","01:23:03 "
"009-Aug 06 2019 01:23:14 -L3","Aug 06 2019","FUN","L3","9","01:23:14 "
